instance,GA,TS
100_20_01,0.611079,1.103872
100_20_02,0.578331,1.494516
100_20_03,0.380646,0.991321
100_20_04,0.788215,1.673719
100_20_05,0.525167,1.486034
100_20_06,0.699223,1.463677
100_20_07,0.019209,0.694592
100_20_08,0.810638,1.440800
100_20_09,0.137762,1.337645
100_20_10,0.735246,1.844693
100_20_11,0.699081,1.173429
100_20_12,0.056076,1.946589
100_20_13,0.836977,1.071992
100_20_14,0.598426,1.326727
100_20_15,0.481527,1.224837
100_20_16,0.757108,1.256447
100_20_17,0.293669,1.446246
100_20_18,0.400447,1.437679
100_20_19,0.507642,1.534072
100_20_20,0.596147,0.836078
100_20_21,0.947423,1.267284
100_20_22,0.406250,1.779676
100_20_23,0.618699,2.251728
100_20_24,0.852116,1.867707
100_20_25,0.751698,2.230389
100_20_26,0.493933,1.525633
100_20_27,0.719616,1.904820
100_20_28,0.705383,1.294640
100_20_29,0.780091,1.683219
100_20_30,0.358734,1.728882
