instance,RTEI,RTIE,STEI,STIE
100_20_01,1.780566,2.163424,2.496892,2.037093
100_20_02,1.814115,0.527684,2.480790,2.095311
100_20_03,1.435862,1.217556,1.037040,1.094906
100_20_04,0.993068,1.432148,1.484052,1.248986
100_20_05,2.146240,1.957329,1.653236,1.375607
100_20_06,1.922915,1.527140,1.633934,1.919185
100_20_07,2.077913,1.719744,2.005572,2.527172
100_20_08,1.956222,1.242443,1.292809,2.027638
100_20_09,1.713172,2.573861,2.747570,2.747570
100_20_10,1.978079,1.657831,1.573109,0.942434
100_20_11,2.483484,2.652117,1.127307,1.645617
100_20_12,1.129067,1.375045,2.062311,2.008049
100_20_13,1.571896,1.292882,1.841125,2.452962
100_20_14,2.189530,2.197210,2.833910,2.070323
100_20_15,1.728343,3.073057,1.035494,2.187051
100_20_16,1.434032,1.172985,0.965273,0.995387
100_20_17,1.346447,1.650604,2.048727,2.226769
100_20_18,1.783918,1.384988,1.716795,2.508783
100_20_19,0.881403,1.519630,2.599526,2.735936
100_20_20,1.995082,1.423997,2.150414,2.966704
100_20_21,1.704631,1.161182,2.105987,3.169581
100_20_22,1.347512,2.101558,3.086985,2.566808
100_20_23,3.835290,1.272787,2.171323,2.113733
100_20_24,1.725134,3.769985,1.169521,0.973816
100_20_25,3.158305,2.717615,2.134904,1.647782
100_20_26,2.364000,1.145102,1.314018,2.519424
100_20_27,1.173787,1.040410,2.123033,1.701442
100_20_28,1.200781,1.792623,1.614743,1.534351
100_20_29,0.433798,0.735715,1.244534,1.467945
100_20_30,1.484260,1.311050,1.457159,0.637654
50_20_01,2.447283,2.752510,2.535447,1.804800
50_20_02,2.216595,3.258425,2.322302,1.815139
50_20_03,0.779818,2.232540,1.426411,0.863752
50_20_04,1.878898,2.747854,2.450913,2.365190
50_20_05,2.118005,2.716280,2.617781,2.469056
50_20_06,2.983204,1.863441,2.299627,2.613202
50_20_07,0.960596,2.930679,2.390978,1.939863
50_20_08,2.730682,2.804152,2.055721,2.665648
50_20_09,1.353594,1.870499,1.944303,0.821087
50_20_10,1.909618,2.883915,2.142319,2.670610
50_20_11,1.891923,3.624732,2.023234,2.375268
50_20_12,2.170108,1.776270,1.579147,1.155922
50_20_13,1.964059,2.647840,2.078256,2.460781
50_20_14,1.326703,1.516190,2.742095,1.946471
50_20_15,1.540638,3.512635,2.609065,2.676277
50_20_16,2.603447,2.642260,2.617467,2.727465
50_20_17,1.699603,2.512362,1.252609,1.763902
50_20_18,1.762271,1.867150,1.113919,1.201803
50_20_19,2.047789,2.678148,2.700050,2.167201
50_20_20,1.067395,2.772940,1.958241,1.830533
50_20_21,2.207393,2.650838,2.708879,2.753756
50_20_22,1.077034,2.931756,2.659007,2.041245
50_20_23,2.085838,2.886806,3.141000,3.653045
50_20_24,2.301830,3.630133,2.815888,2.642014
50_20_25,2.423737,2.114541,1.834928,2.492006
50_20_26,1.498289,1.737317,2.742286,2.583018
50_20_27,1.831207,2.131127,1.824226,2.660888
50_20_28,1.689667,2.739078,2.070195,2.746293
50_20_29,1.483614,1.977332,1.940941,3.516712
50_20_30,1.470248,1.811517,2.634133,1.794967
