"RFT , RFE",1.45195335513809e-12,1.67132856965264e-11
"RFT , RFI",1.2107011922515e-12,1.67132856965264e-11
"RFT , RBT",0.000384024248959285,0.000198207408241016
"RFT , RBE",1.49747380004171e-12,1.67132856965264e-11
"RFT , RBI",1.23005899314382e-12,1.67132856965264e-11
"RFT , SFT",1.38781847821521e-12,1.67132856965264e-11
"RFT , SFE",1.38550600341999e-12,1.67132856965264e-11
"RFT , SFI",1.25359345859921e-12,1.67132856965264e-11
"RFT , SBT",1.38973070019891e-12,1.67132856965264e-11
"RFT , SBE",1.27033991484837e-12,1.67132856965264e-11
"RFT , SBI",1.26515922757485e-12,1.67132856965264e-11
"RFE , RFI",0.304915079404254,0.463875951465839
"RFE , RBT",1.53445219735901e-12,1.67132856965264e-11
"RFE , RBE",3.35581498109123e-11,1.67132856965264e-11
"RFE , RBI",1.28818025529477e-09,3.31827283251242e-10
"RFE , SFT",1.88780531730147e-11,1.94489567709484e-11
"RFE , SFE",1.29702662832809e-08,4.40493702946702e-10
"RFE , SFI",0.00734284800962505,0.0285186607242488
"RFE , SBT",1.83956416091295e-11,1.94489567709484e-11
"RFE , SBE",2.91629166786632e-09,4.1205427984959e-11
"RFE , SBI",1.97699690198988e-05,1.5774912575696e-05
"RFI , RBT",1.27769463251488e-12,1.67132856965264e-11
"RFI , RBE",1.57881909411787e-11,1.67132856965264e-11
"RFI , RBI",2.99980678376051e-10,2.62991876740124e-11
"RFI , SFT",5.2495047689435e-12,1.67132856965264e-11
"RFI , SFE",9.2996293323004e-09,4.0088752836935e-10
"RFI , SFI",0.0685044365868979,0.00652597472959805
"RFI , SBT",5.21834792762024e-12,1.67132856965264e-11
"RFI , SBE",1.86204378691196e-09,7.82242510995495e-11
"RFI , SBI",9.24409512149523e-06,3.17698675029324e-07
"RBT , RBE",1.59110396315169e-12,1.67132856965264e-11
"RBT , RBI",1.31322337085303e-12,1.67132856965264e-11
"RBT , SFT",1.46946606712068e-12,1.67132856965264e-11
"RBT , SFE",1.46427045600748e-12,1.67132856965264e-11
"RBT , SFI",1.33508594119917e-12,1.67132856965264e-11
"RBT , SBT",1.47122056614724e-12,1.67132856965264e-11
"RBT , SBE",1.33940265265547e-12,1.67132856965264e-11
"RBT , SBI",1.33623498278424e-12,1.67132856965264e-11
"RBE , RBI",4.81007358863804e-06,2.78679427712337e-08
"RBE , SFT",0.0847775809066388,0.0410678008563904
"RBE , SFE",9.07466123273456e-09,1.21280005249813e-10
"RBE , SFI",1.48368252168166e-11,1.67132856965264e-11
"RBE , SBT",0.0990009548467116,0.0403442902198315
"RBE , SBE",9.84691598997035e-08,1.60419554601932e-08
"RBE , SBI",4.07659117625809e-10,4.3301918258828e-11
"RBI , SFT",2.6790843296592e-06,7.54639191071673e-08
"RBI , SFE",0.00402128199671634,0.0279891444856437
"RBI , SFI",2.41443886868117e-09,2.87797884564981e-10
"RBI , SBT",2.41675359082082e-06,7.24395754196259e-08
"RBI , SBE",0.170769485331541,0.83956956888465
"RBI , SBI",1.64777326996168e-08,1.13693223956167e-08
"SFT , SFE",1.03650370990994e-08,6.71899558839375e-11
"SFT , SFI",5.47121228440714e-12,1.67132856965264e-11
"SFT , SBT",0.0495447754691748,0.0313220795037409
"SFT , SBE",3.93401218743567e-09,6.53489941484003e-11
"SFT , SBI",1.83771996544497e-11,1.67132856965264e-11
"SFE , SFI",1.01490468882716e-08,1.34205251325615e-09
"SFE , SBT",1.0014705030523e-08,3.59910232594763e-11
"SFE , SBE",0.0161769937383313,0.0504108745574905
"SFE , SBI",5.27333386335289e-05,2.06253965106104e-07
"SFI , SBT",5.70353696291477e-12,1.67132856965264e-11
"SFI , SBE",1.96993463278142e-09,3.47915858286267e-10
"SFI , SBI",0.00280264105201087,0.000793433779461824
"SBT , SBE",3.08857636888741e-09,5.28272486561804e-11
"SBT , SBI",1.75714917902182e-11,1.67132856965264e-11
"SBE , SBI",1.40800372006313e-07,2.26770415822908e-10
